,SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
9179,PSMB6,P28072,,SKP1,P63208,STRING
9181,PSMA5,P28066,,SKP1,P63208,STRING
9186,RPS27A,P62979,,SKP1,P63208,STRING
9190,SKP2,Q13309,,SKP1,P63208,STRING
9192,CCNB3,Q8WWL7,,SKP1,P63208,STRING
9193,NOTCH1,P46531,,SKP1,P63208,STRING
9196,NINL,Q9Y2I6,,TUBA4A,P68366,STRING
9197,CEP164,Q9UPV0,,TUBA4A,P68366,STRING
9198,SCLT1,Q96NL6,,TUBA4A,P68366,STRING
9199,FBXW7,Q969H0,,SKP1,P63208,STRING
9201,GJA1,P17302,,TUBA4A,P68366,STRING
9202,CCNO,P22674,,SKP1,P63208,STRING
9203,TUBGCP5,Q96RT8,,TUBA4A,P68366,STRING
9204,CCNB2,O95067,,SKP1,P63208,STRING
9210,PSMB4,P28070,,SKP1,P63208,STRING
9214,PSMC2,P35998,,SKP1,P63208,STRING
9215,PSME3,P61289,,SKP1,P63208,STRING
9218,PSMD6,Q15008,,SKP1,P63208,STRING
9220,WDFY2,Q96P53,,STAT3,P40763,STRING
9221,LRR1,Q96L50,,SKP1,P63208,STRING
9222,PSMC3,P17980,,SKP1,P63208,STRING
9224,PLK1,P53350,,SKP1,P63208,STRING
9227,RAB8A,P61006,,TUBA4A,P68366,STRING
9228,CDT1,Q9H211,,SKP1,P63208,STRING
9232,PRDX2,P32119,,STAT3,P40763,STRING
9292,CDC25A,P30304,,SKP1,P63208,STRING
9293,UBE2E1,P51965,,SKP1,P63208,STRING
9295,UBB,P0CG47,,SKP1,P63208,STRING
9297,TCTN2,Q96GX1,,TUBA4A,P68366,STRING
9298,CEP89,Q96ST8,,TUBA4A,P68366,STRING
9303,YWHAG,P61981,,TUBA4A,P68366,STRING
9305,CYCS,P99999,,SKP1,P63208,STRING
9306,CDC20,Q12834,,SKP1,P63208,STRING
9309,CCNE2,O96020,,SKP1,P63208,STRING
9312,PSMD1,Q99460,,SKP1,P63208,STRING
9314,PRKACA,P17612,,TUBA4A,P68366,STRING
9318,ANAPC10,Q9UM13,,SKP1,P63208,STRING
9319,PSMD2,Q13200,,SKP1,P63208,STRING
9322,PSMC5,P62195,,SKP1,P63208,STRING
9328,PSMA8,Q8TAA3,,SKP1,P63208,STRING
9329,PPP2R1B,P30154,,SKP1,P63208,STRING
9332,NPHP1,O15259,,TUBA4A,P68366,STRING
9333,PRKDC,P78527,,SRF,P11831,STRING
9334,SSNA1,O43805,,TUBA4A,P68366,STRING
9335,ANAPC2,Q9UJX6,,SKP1,P63208,STRING
9444,CCNG2,Q16589,,SKP1,P63208,STRING
9454,ANAPC4,Q9UJX5,,SKP1,P63208,STRING
9455,TRAF7,Q6Q0C0,,SKP1,P63208,STRING
9457,EZH2,Q15910,,STAT3,P40763,STRING
9462,C2CD3,Q4AC94,,TUBA4A,P68366,STRING
9464,FBF1,Q8TES7,,TUBA4A,P68366,STRING
9465,CSNK1D,P48730,,TUBA4A,P68366,STRING
9466,PPP2R1A,P30153,,SKP1,P63208,STRING
9469,UBE2I,P63279,,SKP1,P63208,STRING
9470,UBE2I,P63279,,SRF,P11831,STRING
9472,PPP2R2A,P63151,,SKP1,P63208,STRING
9474,HSP90AB1,P08238,,SKP1,P63208,STRING
9476,PPP1CA,P62136,,STAT3,P40763,STRING
9480,CUL1,Q13616,,SKP1,P63208,STRING
9481,PCM1,Q15154,,TUBA4A,P68366,STRING
9482,PSMF1,Q92530,,SKP1,P63208,STRING
9484,FOXK1,P85037,,SRF,P11831,STRING
9488,SP1,P08047,,SRF,P11831,STRING
9494,CASP9,P55211,,SRF,P11831,STRING
9511,UBL4B,Q8N7F7,,SKP1,P63208,STRING
9517,PPP2R2C,Q9Y2T4,,SKP1,P63208,STRING
9519,HSP90AA1,P07900,,SKP1,P63208,STRING
9520,HSP90AA1,P07900,,TUBA4A,P68366,STRING
9522,CDKN3,Q16667,,SKP1,P63208,STRING
9527,FOXK2,Q01167,,SRF,P11831,STRING
9528,CEP63,Q96MT8,,TUBA4A,P68366,STRING
9529,PPP2R2B,Q00005,,SKP1,P63208,STRING
9537,PPP2R5E,Q16537,,SKP1,P63208,STRING
9539,ZBTB16,Q05516,,SKP1,P63208,STRING
9541,UBA1,P22314,,SKP1,P63208,STRING
9546,ANAPC1,Q9H1A4,,SKP1,P63208,STRING
9547,ZFAND4,Q86XD8,,SKP1,P63208,STRING
9548,ZFAND4,Q86XD8,,TUBA4A,P68366,STRING
9550,KAT5,Q92993,,STAT3,P40763,STRING
9551,KAT5,Q92993,,SRF,P11831,STRING
9552,MAPT,P10636,,TUBA4A,P68366,STRING
9562,OAS2,P29728,,SKP1,P63208,STRING
9563,OAS2,P29728,,TUBA4A,P68366,STRING
9565,CEP97,Q8IW35,,TUBA4A,P68366,STRING
9567,KPNA1,P52294,,STAT3,P40763,STRING
9568,CDK5RAP2,Q96SN8,,TUBA4A,P68366,STRING
9569,OFD1,O75665,,TUBA4A,P68366,STRING
9570,PTMA,P06454,,STAT3,P40763,STRING
9571,CCNG1,P51959,,SKP1,P63208,STRING
9577,GATA2,P23769,,STAT3,P40763,STRING
9586,PSMD12,O00232,,SKP1,P63208,STRING
9591,CDC16,Q13042,,SKP1,P63208,STRING
9592,AKAP9,Q99996,,TUBA4A,P68366,STRING
9596,UBE2C,O00762,,SKP1,P63208,STRING
9598,DYNC1H1,Q14204,,TUBA4A,P68366,STRING
9603,ANAPC11,Q9NYG5,,SKP1,P63208,STRING
9604,ACTB,P60709,,SKP1,P63208,STRING
9613,SMARCA4,P51532,,STAT3,P40763,STRING
9614,SMARCA4,P51532,,SRF,P11831,STRING
9620,PSMB10,P40306,,SKP1,P63208,STRING
9621,PRDM10,Q9NQV6,,SKP1,P63208,STRING
9627,PCNT,O95613,,TUBA4A,P68366,STRING
9628,CSNK1E,P49674,,TUBA4A,P68366,STRING
9631,MAP2,P50579,,TUBA4A,P68366,STRING
9641,PSMB5,P28074,,SKP1,P63208,STRING
9643,SDCCAG8,Q86SQ7,,TUBA4A,P68366,STRING
9651,FGFR1OP,O95684,,TUBA4A,P68366,STRING
9652,FGFR1OP,O95684,,STAT3,P40763,STRING
9655,NEK2,P51955,,TUBA4A,P68366,STRING
9656,UBE2T,Q9NPD8,,SKP1,P63208,STRING
9657,LMNA,P02545,,NUP155,O75694,STRING
9658,LMNA,P02545,,RPA1,O95602,STRING
9660,LMNA,P02545,,LMNB1,P20700,STRING
9663,LMNA,P02545,,MAPK3,Q16644,STRING
9665,LMNA,P02545,,TMPO,P42166,STRING
9666,LMNA,P02545,,RB1,P06400,STRING
9669,LMNA,P02545,,FOS,P01100,STRING
9670,LMNA,P02545,,HIST2H3D,Q71DI3,STRING
9671,LMNA,P02545,,NUP50,Q9UKX7,STRING
9672,LMNA,P02545,,ACTB,P60709,STRING
9673,LMNA,P02545,,PRDM10,Q9NQV6,STRING
9681,PSMD4,P55036,,SKP1,P63208,STRING
9683,CACUL1,Q86Y37,,SKP1,P63208,STRING
9684,UBL4A,P11441,,SKP1,P63208,STRING
9685,UBL4A,P11441,,TUBA4A,P68366,STRING
9691,BTRC,Q9Y297,,SKP1,P63208,STRING
9692,HAUS7,Q99871,,TUBA4A,P68366,STRING
9693,CETN2,P41208,,TUBA4A,P68366,STRING
9694,PSMA7,O14818,,SKP1,P63208,STRING
9695,GADD45A,P24522,,STAT3,P40763,STRING
9699,JUN,P05412,,SKP1,P63208,STRING
9703,RUNX2,Q13950,,STAT3,P40763,STRING
9704,UBE2A,P49459,,SKP1,P63208,STRING
9706,PTPN1,P18031,,MAPK13,O15264,STRING
9707,PTPN1,P18031,,MAPK12,P53778,STRING
9709,PTPN1,P18031,,CSNK2A1,P68400,STRING
9710,PTPN1,P18031,,KITLG,P21583,STRING
9711,PTPN1,P18031,,MAPK14,Q16539,STRING
9712,PTPN1,P18031,,DUSP1,P28562,STRING
9713,PTPN1,P18031,,CDC25B,P30305,STRING
9715,PTPN1,P18031,,MAPK6,Q16659,STRING
9716,PTPN1,P18031,,PHLPP1,O60346,STRING
9721,PTPN1,P18031,,IFNAR1,P17181,STRING
9722,PTPN1,P18031,,PPM1B,O75688,STRING
9724,PTPN1,P18031,,PLK1,P53350,STRING
9725,PTPN1,P18031,,MAP2K1,Q02750,STRING
9726,PTPN1,P18031,,CDC25A,P30304,STRING
9727,PTPN1,P18031,,FOS,P01100,STRING
9728,PTPN1,P18031,,MAPK7,Q13164,STRING
9730,PTPN1,P18031,,CDC25C,P30307,STRING
9731,PTPN1,P18031,,RIPK4,P57078,STRING
9732,PTPN1,P18031,,MAPK11,Q15759,STRING
9734,PTPN1,P18031,,PHLPP2,Q6ZVD8,STRING
9744,PLK3,Q9H4B4,,SKP1,P63208,STRING
9753,ODF2,Q5BJF6,,TUBA4A,P68366,STRING
9755,CCND3,P30281,,SKP1,P63208,STRING
9756,PSMB2,P49721,,SKP1,P63208,STRING
9757,RBBP4,Q09028,,PSMC4,P43686,STRING
9758,RBBP4,Q09028,,ESR1,P03372,STRING
9759,RBBP4,Q09028,,CDC6,Q99741,STRING
9760,RBBP4,Q09028,,SIRT1,Q96EB6,STRING
9761,RBBP4,Q09028,,CENPM,Q9NSP4,STRING
9762,RBBP4,Q09028,,MCM5,P33992,STRING
9765,RBBP4,Q09028,,CENPT,Q96BT3,STRING
9766,RBBP4,Q09028,,OIP5,O43482,STRING
9767,RBBP4,Q09028,,GLI1,P08151,STRING
9768,RBBP4,Q09028,,MCM3,P25205,STRING
9769,RBBP4,Q09028,,MSH2,P43246,STRING
9770,RBBP4,Q09028,,ORC2,Q13416,STRING
9771,RBBP4,Q09028,,NFYB,P25208,STRING
9772,RBBP4,Q09028,,CENPK,Q9BS16,STRING
9773,RBBP4,Q09028,,HIST1H4G,Q99525,STRING
9775,RBBP4,Q09028,,SIRT2,Q8IXJ6,STRING
9776,RBBP4,Q09028,,RPA1,O95602,STRING
9777,RBBP4,Q09028,,H3F3B,P84243,STRING
9778,RBBP4,Q09028,,CCNB1,P14635,STRING
9779,RBBP4,Q09028,,ORC3,Q9UBD5,STRING
9780,RBBP4,Q09028,,CDK4,P11802,STRING
9781,RBBP4,Q09028,,CENPO,Q9BU64,STRING
9782,RBBP4,Q09028,,MCM4,P33991,STRING
9784,RBBP4,Q09028,,AJUBA,Q96IF1,STRING
9785,RBBP4,Q09028,,E2F3,O00716,STRING
9786,RBBP4,Q09028,,EP300,Q09472,STRING
9787,RBBP4,Q09028,,ASF1B,Q9NVP2,STRING
9788,RBBP4,Q09028,,ORC4,O43929,STRING
9789,RBBP4,Q09028,,CDK6,Q00534,STRING
9790,RBBP4,Q09028,,SMARCA2,P51531,STRING
9791,RBBP4,Q09028,,CDK2,P24941,STRING
9792,RBBP4,Q09028,,RB1,P06400,STRING
9793,RBBP4,Q09028,,PML,P29590,STRING
9794,RBBP4,Q09028,,TP53,P04637,STRING
9796,RBBP4,Q09028,,HIST1H2BA,Q96A08,STRING
9798,RBBP4,Q09028,,CENPH,Q9H3R5,STRING
9799,RBBP4,Q09028,,CCNB2,O95067,STRING
9800,RBBP4,Q09028,,HIST1H2BD,P58876,STRING
9801,RBBP4,Q09028,,HIST1H4H,P62805,STRING
9802,RBBP4,Q09028,,PKNOX1,P55347,STRING
9803,RBBP4,Q09028,,RFC4,P35249,STRING
9804,RBBP4,Q09028,,H2AFZ,P0C0S5,STRING
9805,RBBP4,Q09028,,NPM1,P06748,STRING
9806,RBBP4,Q09028,,ORC5,O43913,STRING
9807,RBBP4,Q09028,,PLK1,P53350,STRING
9808,RBBP4,Q09028,,RRM1,P23921,STRING
9809,RBBP4,Q09028,,HIST1H2BO,P23527,STRING
9810,RBBP4,Q09028,,CDC25A,P30304,STRING
9811,RBBP4,Q09028,,FEN1,P39748,STRING
9812,RBBP4,Q09028,,MCM7,P33993,STRING
9813,RBBP4,Q09028,,H2AFV,Q71UI9,STRING
9815,RBBP4,Q09028,,CCNE2,O96020,STRING
9816,RBBP4,Q09028,,CHAF1B,Q13112,STRING
9817,RBBP4,Q09028,,PRMT5,O14744,STRING
9818,RBBP4,Q09028,,EZH2,Q15910,STRING
9819,RBBP4,Q09028,,HIST1H2AC,Q93077,STRING
9820,RBBP4,Q09028,,HIST1H2AJ,Q99878,STRING
9822,RBBP4,Q09028,,HIST2H3D,Q71DI3,STRING
9824,RBBP4,Q09028,,CENPA,P49450,STRING
9825,RBBP4,Q09028,,CENPQ,Q7L2Z9,STRING
9826,RBBP4,Q09028,,KAT5,Q92993,STRING
9827,RBBP4,Q09028,,HIST1H2AD,P20671,STRING
9828,RBBP4,Q09028,,FOXM1,Q08050,STRING
9829,RBBP4,Q09028,,HIST1H2BJ,P06899,STRING
9831,RBBP4,Q09028,,KPNA1,P52294,STRING
9834,RBBP4,Q09028,,H2AFB1,P0C5Y9,STRING
9837,RBBP4,Q09028,,CENPL,Q8N0S6,STRING
9838,RBBP4,Q09028,,HIST1H2BH,Q93079,STRING
9839,RBBP4,Q09028,,UBE2C,O00762,STRING
9840,RBBP4,Q09028,,HIST1H2BK,O60814,STRING
9842,RBBP4,Q09028,,PRIM1,P49642,STRING
9843,RBBP4,Q09028,,HIST1H2BB,P33778,STRING
9844,RBBP4,Q09028,,SMARCA4,P51532,STRING
9847,RBBP4,Q09028,,HIST1H2BM,Q99879,STRING
9850,RBBP4,Q09028,,E2F2,Q14209,STRING
9853,RBBP4,Q09028,,BUB3,O43684,STRING
9854,RBBP4,Q09028,,HIST2H2BE,Q16778,STRING
9856,RBBP4,Q09028,,HIST2H2AA3,Q6FI13,STRING
9858,RBBP4,Q09028,,ITGB3BP,Q13352,STRING
9859,RBBP4,Q09028,,ORC1,Q13415,STRING
9860,RBBP4,Q09028,,CENPI,Q92674,STRING
9862,HDAC1,Q13547,,SRF,P11831,STRING
9864,RBL1,P28749,,RBBP4,Q09028,STRING
9866,UBE2D1,P51668,,SKP1,P63208,STRING
9868,CDC26,Q8NHZ8,,SKP1,P63208,STRING
9869,FOXO4,P98177,,STAT3,P40763,STRING
9874,PSMB9,P28065,,SKP1,P63208,STRING
9875,PSMB8,P28062,,SKP1,P63208,STRING
9877,H2AFX,P16104,,RBBP4,Q09028,STRING
9879,TFDP1,Q14186,,SKP1,P63208,STRING
9880,TFDP1,Q14186,,RBBP4,Q09028,STRING
9886,EHMT2,Q96KQ7,,RBBP4,Q09028,STRING
9891,CENPP,Q6IPU0,,RBBP4,Q09028,STRING
9892,SYK,Q15046,,SKP1,P63208,STRING
9896,SYK,Q15046,,PTPN1,P18031,STRING
9897,CKS2,P33552,,SKP1,P63208,STRING
9899,CEP78,Q5JTW2,,TUBA4A,P68366,STRING
9900,UBD,O15205,,SKP1,P63208,STRING
9901,UBD,O15205,,TUBA4A,P68366,STRING
9906,HIST1H2BL,Q99880,,RBBP4,Q09028,STRING
9909,MYC,P01106,,SKP1,P63208,STRING
9911,NPHP4,O75161,,TUBA4A,P68366,STRING
9916,CCNI2,Q6ZMN8,,SKP1,P63208,STRING
9920,PCNA,P12004,,RBBP4,Q09028,STRING
9921,KIF24,Q5T7B8,,TUBA4A,P68366,STRING
9922,E2F4,Q16254,,SKP1,P63208,STRING
9923,E2F4,Q16254,,RBBP4,Q09028,STRING
9924,ISG15,P05161,,SKP1,P63208,STRING
9925,ISG15,P05161,,TUBA4A,P68366,STRING
9928,FOXO1,Q12778,,SRF,P11831,STRING
9931,RPGRIP1L,Q68CZ1,,TUBA4A,P68366,STRING
9933,RFC3,P40938,,RBBP4,Q09028,STRING
10019,HAUS6,Q7Z4H7,,TUBA4A,P68366,STRING
10025,CCP110,O43303,,TUBA4A,P68366,STRING
10026,E2F6,O75461,,RBBP4,Q09028,STRING
10027,CDK8,P49336,,SKP1,P63208,STRING
10030,CENPJ,Q9HC77,,TUBA4A,P68366,STRING
10031,CHEK2,O96017,,LMNA,P02545,STRING
10035,PSME1,Q06323,,SKP1,P63208,STRING
10036,H2AFJ,Q9BTM1,,RBBP4,Q09028,STRING
10040,SQSTM1,Q13501,,NFKB1,P19838,STRING
10041,SQSTM1,Q13501,,MAPK14,Q16539,STRING
10047,SQSTM1,Q13501,,RPS27A,P62979,STRING
10053,SQSTM1,Q13501,,CUL1,Q13616,STRING
10057,SQSTM1,Q13501,,MAPT,P10636,STRING
10061,SQSTM1,Q13501,,VCP,P55072,STRING
10064,SQSTM1,Q13501,,ITGB3BP,Q13352,STRING
10066,SQSTM1,Q13501,,MBP,P02686,STRING
10067,BORA,Q6PGQ7,,SKP1,P63208,STRING
10068,BORA,Q6PGQ7,,TUBA4A,P68366,STRING
10069,HIST3H2BB,Q8N257,,RBBP4,Q09028,STRING
10072,MKS1,Q9NXB0,,TUBA4A,P68366,STRING
10074,CENPN,Q96H22,,RBBP4,Q09028,STRING
10075,HMMR,O75330,,TUBA4A,P68366,STRING
10079,PRC1,O43663,,RBBP4,Q09028,STRING
10082,CDC23,Q9UJX2,,SKP1,P63208,STRING
10084,FZR1,Q9UM11,,SKP1,P63208,STRING
10089,CDK1,P06493,,PSMC4,P43686,STRING
10092,CDK1,P06493,,TRIP13,Q15645,STRING
10094,CDK1,P06493,,HAUS4,Q9H6D7,STRING
10096,CDK1,P06493,,AAAS,Q9NRG9,STRING
10097,CDK1,P06493,,PSMD5,Q16401,STRING
10099,CDK1,P06493,,SIRT1,Q96EB6,STRING
10100,CDK1,P06493,,PSMD8,P48556,STRING
10101,CDK1,P06493,,CDC34,P49427,STRING
10109,CDK1,P06493,,EIF3D,O15371,STRING
10111,CDK1,P06493,,PSMA3,P25788,STRING
10112,CDK1,P06493,,VRK1,Q99986,STRING
10113,CDK1,P06493,,PSME2,Q9UL46,STRING
10115,CDK1,P06493,,MYBL2,P10244,STRING
10117,CDK1,P06493,,CSNK2A1,P68400,STRING
10118,CDK1,P06493,,FAM83D,Q9H4H8,STRING
10119,CDK1,P06493,,TAF9,Q16594,STRING
10120,CDK1,P06493,,PSMD10,O75832,STRING
10121,CDK1,P06493,,STAG2,Q8N3U4,STRING
10122,CDK1,P06493,,ORC6,Q9Y5N6,STRING
10124,CDK1,P06493,,PSMD7,P51665,STRING
10126,CDK1,P06493,,OIP5,O43482,STRING
10128,CDK1,P06493,,RNASEH2A,O75792,STRING
10129,CDK1,P06493,,CDC37,Q16543,STRING
10131,CDK1,P06493,,CEP41,Q9BYV8,STRING
10134,CDK1,P06493,,PSMB3,P49720,STRING
10136,CDK1,P06493,,GALK1,P51570,STRING
10139,CDK1,P06493,,ANAPC15,P60006,STRING
10140,CDK1,P06493,,GLI1,P08151,STRING
10142,CDK1,P06493,,CDKN1B,P46527,STRING
10143,CDK1,P06493,,OAS3,Q9Y6K5,STRING
10146,CDK1,P06493,,FBXO5,Q9UKT4,STRING
10148,CDK1,P06493,,MCM3,P25205,STRING
10149,CDK1,P06493,,GMNN,O75496,STRING
10150,CDK1,P06493,,SKP1,P63208,STRING
10151,CDK1,P06493,,NUP155,O75694,STRING
10153,CDK1,P06493,,UMPS,P11172,STRING
10155,CDK1,P06493,,ORC2,Q13416,STRING
10156,CDK1,P06493,,CDC7,O00311,STRING
10157,CDK1,P06493,,MAD2L2,Q9UI95,STRING
10159,CDK1,P06493,,CNTRL,Q7Z7A1,STRING
10160,CDK1,P06493,,NEK9,Q8TD19,STRING
10161,CDK1,P06493,,HELLS,Q9NRZ9,STRING
10163,CDK1,P06493,,NFYB,P25208,STRING
10166,CDK1,P06493,,DYNLL1,P63167,STRING
10169,CDK1,P06493,,HAUS3,Q68CZ6,STRING
10172,CDK1,P06493,,HIST1H4G,Q99525,STRING
10173,CDK1,P06493,,HIST1H1A,Q02539,STRING
10177,CDK1,P06493,,CDC25B,P30305,STRING
10180,CDK1,P06493,,HSPA2,P54652,STRING
10181,CDK1,P06493,,PIN1,Q13526,STRING
10183,CDK1,P06493,,HSPB1,P04792,STRING
10185,CDK1,P06493,,TUBGCP6,Q96RT7,STRING
10186,CDK1,P06493,,YWHAH,Q04917,STRING
10188,CDK1,P06493,,SIRT2,Q8IXJ6,STRING
10190,CDK1,P06493,,ARPP19,P56211,STRING
10191,CDK1,P06493,,MYOD1,P15172,STRING
10192,CDK1,P06493,,E2F8,A0AVK6,STRING
10194,CDK1,P06493,,KLF16,Q9BXK1,STRING
10198,CDK1,P06493,,NCAPG,Q9BPX3,STRING
10200,CDK1,P06493,,GADD45G,O95257,STRING
10201,CDK1,P06493,,TUBGCP2,Q9BSJ2,STRING
10203,CDK1,P06493,,GFAP,P14136,STRING
10204,CDK1,P06493,,GINS2,Q9Y248,STRING
10205,CDK1,P06493,,HAUS8,Q9BT25,STRING
10207,CDK1,P06493,,NUP210,Q8TEM1,STRING
10214,CDK1,P06493,,CDK7,P50613,STRING
10215,CDK1,P06493,,LPIN1,Q14693,STRING
10216,CDK1,P06493,,CCNH,P51946,STRING
10217,CDK1,P06493,,CEP135,Q66GS9,STRING
10218,CDK1,P06493,,OASL,Q15646,STRING
10219,CDK1,P06493,,POM121,Q96HA1,STRING
10221,CDK1,P06493,,ORC3,Q9UBD5,STRING
10223,CDK1,P06493,,TROAP,Q12815,STRING
10226,CDK1,P06493,,NUPL2,O15504,STRING
10228,CDK1,P06493,,PSMB7,Q99436,STRING
10229,CDK1,P06493,,DCTN3,O75935,STRING
10230,CDK1,P06493,,HIST1H2AB,P04908,STRING
10232,CDK1,P06493,,GGH,Q92820,STRING
10234,CDK1,P06493,,HAUS2,Q9NVX0,STRING
10241,CDK1,P06493,,MNAT1,P51948,STRING
10242,CDK1,P06493,,CCND2,P30279,STRING
10243,CDK1,P06493,,PSMC1,P62191,STRING
10244,CDK1,P06493,,LMNB1,P20700,STRING
10246,CDK1,P06493,,UBE2K,P61086,STRING
10248,CDK1,P06493,,PPP2R3C,Q969Q6,STRING
10250,CDK1,P06493,,B9D1,Q9UPM9,STRING
10251,CDK1,P06493,,LPIN2,Q92539,STRING
10253,CDK1,P06493,,KPNA3,O00505,STRING
10254,CDK1,P06493,,PSMD11,O00231,STRING
10256,CDK1,P06493,,ANAPC5,Q9UJX4,STRING
10258,CDK1,P06493,,TIPIN,Q9BVW5,STRING
10259,CDK1,P06493,,RAB11A,P62491,STRING
10260,CDK1,P06493,,CCNT1,O60563,STRING
10261,CDK1,P06493,,TUBGCP3,Q96CW5,STRING
10263,CDK1,P06493,,NUP153,P49790,STRING
10264,CDK1,P06493,,MCM4,P33991,STRING
10265,CDK1,P06493,,CEP76,Q8TAP6,STRING
10266,CDK1,P06493,,RBL2,Q08999,STRING
10267,CDK1,P06493,,WDR59,Q6PJI9,STRING
10268,CDK1,P06493,,PSMB1,P20618,STRING
10269,CDK1,P06493,,PKMYT1,Q99640,STRING
10270,CDK1,P06493,,GINS1,Q14691,STRING
10272,CDK1,P06493,,CDKN2C,P42773,STRING
10275,CDK1,P06493,,SAMHD1,Q9Y3Z3,STRING
10276,CDK1,P06493,,MARK4,Q96L34,STRING
10277,CDK1,P06493,,E2F3,O00716,STRING
10278,CDK1,P06493,,CSE1L,P55060,STRING
10280,CDK1,P06493,,EEF2K,O00418,STRING
10281,CDK1,P06493,,OPTN,Q96CV9,STRING
10283,CDK1,P06493,,EP300,Q09472,STRING
10284,CDK1,P06493,,LIG1,P18858,STRING
10285,CDK1,P06493,,ASF1B,Q9NVP2,STRING
10290,CDK1,P06493,,DDX6,P26196,STRING
10292,CDK1,P06493,,MCM6,Q14566,STRING
10293,CDK1,P06493,,CCNT2,O60583,STRING
10294,CDK1,P06493,,ORC4,O43929,STRING
10295,CDK1,P06493,,POLQ,O75417,STRING
10296,CDK1,P06493,,YWHAE,P62258,STRING
10297,CDK1,P06493,,ALMS1,Q8TCU4,STRING
10298,CDK1,P06493,,UBE2S,Q16763,STRING
10299,CDK1,P06493,,NEIL3,Q8TAT5,STRING
10302,CDK1,P06493,,NSUN2,Q08J23,STRING
10303,CDK1,P06493,,NUP54,Q7Z3B4,STRING
10305,CDK1,P06493,,CEP72,Q9P209,STRING
10307,CDK1,P06493,,CEP70,Q8NHQ1,STRING
10309,CDK1,P06493,,MCM2,P49736,STRING
10314,CDK1,P06493,,SSBP1,Q04837,STRING
10317,CDK1,P06493,,CREM,Q03060,STRING
10319,CDK1,P06493,,PRKAR2A,P13861,STRING
10320,CDK1,P06493,,AHI1,Q8N157,STRING
10321,CDK1,P06493,,CHKA,P35790,STRING
10322,CDK1,P06493,,PRKAR2B,P31323,STRING
10323,CDK1,P06493,,DBF4,Q9UBU7,STRING
10325,CDK1,P06493,,ANLN,Q9NQW6,STRING
10326,CDK1,P06493,,SMARCA2,P51531,STRING
10327,CDK1,P06493,,LZTS1,Q9Y250,STRING
10329,CDK1,P06493,,TCTN3,Q6NUS6,STRING
10330,CDK1,P06493,,TMPO,P42166,STRING
10333,CDK1,P06493,,TTBK2,Q6IQ55,STRING
10334,CDK1,P06493,,PML,P29590,STRING
10336,CDK1,P06493,,ESCO1,Q5FWF5,STRING
10338,CDK1,P06493,,IFNAR1,P17181,STRING
10339,CDK1,P06493,,SAE1,Q9UBE0,STRING
10340,CDK1,P06493,,PSMB6,P28072,STRING
10342,CDK1,P06493,,PSMA5,P28066,STRING
10344,CDK1,P06493,,LBR,Q14739,STRING
10349,CDK1,P06493,,SKP2,Q13309,STRING
10353,CDK1,P06493,,CDCA5,Q96FF9,STRING
10355,CDK1,P06493,,CDKN2B,P42772,STRING
10358,CDK1,P06493,,NINL,Q9Y2I6,STRING
10359,CDK1,P06493,,CEP164,Q9UPV0,STRING
10361,CDK1,P06493,,SCLT1,Q96NL6,STRING
10363,CDK1,P06493,,FBXW7,Q969H0,STRING
10364,CDK1,P06493,,HAUS1,Q96CS2,STRING
10366,CDK1,P06493,,PPM1B,O75688,STRING
10370,CDK1,P06493,,TUBGCP5,Q96RT8,STRING
10372,CDK1,P06493,,NUP205,Q92621,STRING
10373,CDK1,P06493,,C1orf112,Q9NSG2,STRING
10375,CDK1,P06493,,DCK,P27707,STRING
10376,CDK1,P06493,,ATAD2,Q6PL18,STRING
10384,CDK1,P06493,,HIST1H4H,P62805,STRING
10387,CDK1,P06493,,PSMB4,P28070,STRING
10389,CDK1,P06493,,PKNOX1,P55347,STRING
10390,CDK1,P06493,,PSMC2,P35998,STRING
10391,CDK1,P06493,,BAX,Q07812,STRING
10392,CDK1,P06493,,PSME3,P61289,STRING
10393,CDK1,P06493,,NUP35,Q8NFH5,STRING
10395,CDK1,P06493,,PSMD6,Q15008,STRING
10396,CDK1,P06493,,CCNL1,Q9UK58,STRING
10398,CDK1,P06493,,H2AFZ,P0C0S5,STRING
10399,CDK1,P06493,,HMGB2,P26583,STRING
10401,CDK1,P06493,,NPM1,P06748,STRING
10402,CDK1,P06493,,SHH,Q15465,STRING
10404,CDK1,P06493,,ORC5,O43913,STRING
10405,CDK1,P06493,,MELK,Q14680,STRING
10406,CDK1,P06493,,WDFY2,Q96P53,STRING
10407,CDK1,P06493,,PKNOX2,Q96KN3,STRING
10408,CDK1,P06493,,LRR1,Q96L50,STRING
10409,CDK1,P06493,,TSC1,Q92574,STRING
10411,CDK1,P06493,,PSMC3,P17980,STRING
10412,CDK1,P06493,,ANAPC16,Q96DE5,STRING
10413,CDK1,P06493,,HSP90B1,P14625,STRING
10414,CDK1,P06493,,NCAPH2,Q6IBW4,STRING
10417,CDK1,P06493,,NUDT21,O43809,STRING
10418,CDK1,P06493,,RUNX1,Q01196,STRING
10421,CDK1,P06493,,USP32,Q8NFA0,STRING
10422,CDK1,P06493,,RAB8A,P61006,STRING
10423,CDK1,P06493,,CDT1,Q9H211,STRING
10427,CDK1,P06493,,PRDX2,P32119,STRING
10429,CDK1,P06493,,TK1,P04183,STRING
