SERPH BRCA2
USP19 AURKC
POLA2 AURKC
HIST2H2BE BRCA2
RAD51C BRCA2
RAD51AP1 BRCA2
BRCA2 NBN
BRCA2 PPM1E
BRCA2 TTK
BRCA2 RECQL5
BRCA2 RHNO1
BRCA2 KDM5C
BRCA2 MSH4
BRCA2 RFC5
BRCA2 RFC3
BRCA2 MLH3
BRCA2 PRKDC
BRCA2 RAD1
BRCA2 SMC3
BRCA2 CFAP52
BRCA2 RAD52
BRCA2 C19orf45
BRCA2 HIST1H2BM
BRCA2 PCNA
BRCA2 XRCC5
BRCA2 L3MBTL1
BRCA2 HUS1
BRCA2 C5E527
BRCA2 HIST1H2BA
BRCA2 RMI2
BRCA2 MAGED1
BRCA2 RBBP8
BRCA2 ATM
BRCA2 HIST1H2BK
BRCA2 BACH1
BRCA2 FANCL
BRCA2 HIST1H2BO
BRCA2 POLH
BRCA2 RPA1
BRCA2 MSH3
BRCA2 ERCC4
BRCA2 ATRIP
BRCA2 FANCM
BRCA2 WRN
BRCA2 POLE4
BRCA2 LIG4
BRCA2 SHFM1
BRCA2 CHEK1
BRCA2 PRLD2
BRCA2 CNKSR1
BRCA2 CDK4
BRCA2 XRCC6
BRCA2 NSMCE4A
BRCA2 PARP1
BRCA2 DMC1
HSP90AA4P AURKC
PCNA AURKC
TUBB AURKC
H90B3 AURKC
MCM5 AURKC
CDK4 AURKC
CENPA AURKC
TUBB3 AURKC
CL043 AURKC
BIRC8 AURKC
ESPL1 AURKC
PLK3 AURKC
NEK7 AURKC
RFC3 AURKC
PLK5 AURKC
TUBB2A AURKC
AURKC TTK
AURKC CDK18
AURKC H3F3C
AURKC SMC3
AURKC CCNB2
AURKC HS904
AURKC REC8
AURKC RPA1
AURKC DUSP23
