SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
NUAK1,A0A024RBL3,physical,SKP1,P63208,BIOGRID
RB1,A0A024RDV3,physical,RBBP4,Q09028,BIOGRID
SQSTM1,Q13501,physical,NDUFS2,B7Z792,BIOGRID
EGFR,B7Z2I3,physical,BCCIP,Q9P287,BIOGRID
TUBA4A,P68366,physical,PRPS1,B7ZB02,BIOGRID
RAP2A,P10114,physical,FKBP2,P26885,BIOGRID
GNL3,Q9BVP2,physical,STAT3,P40763,BIOGRID
MUC20,A0A0G2JN31,physical,TUBA4A,P68366,BIOGRID
TUBA4A,P68366,physical,RPS27A,B2RDW1,BIOGRID
LMNA,P02545,physical,CRKL,P46109,BIOGRID
EIF2AK2,P19525,physical,CCDC124,A0A024R7M8,BIOGRID
BRCA2,P51587,physical,KAT2B,Q92831,BIOGRID
LMNA,P02545,physical,ARPIN,H0YMP5,BIOGRID
MAP3K8,P41279,physical,STIP1,P31948,BIOGRID
STAT3,P40763,physical,PML,P29590,BIOGRID
FASLG,P48023,physical,SNX9,Q9Y5X1,BIOGRID
DOT1L,Q8TEK3,physical,STAT1,P42224,BIOGRID
SKP1,P63208,physical,TTC21A,Q8NDW8,BIOGRID
PRPF4,O43172,physical,ENAH,Q8N8S7,BIOGRID
IFIT3,O14879,physical,IFIT2,P09913,BIOGRID
SQSTM1,Q13501,physical,Gria1,F6YNQ1,BIOGRID
FASLG,P48023,physical,CASP8,A0A024R3Z8,BIOGRID
NEDD4,P46934,physical,BRCA2,P51587,BIOGRID
LMNA,P02545,physical,AHCTF1,Q8WYP5,BIOGRID
NDUFA13,Q9P0J0,physical,SLC25A6,P12236,BIOGRID
TRIM63,Q969Q1,physical,SQSTM1,Q13501,BIOGRID
FASLG,P48023,physical,GRB2,B0LPF3,BIOGRID
ING1,A0A0C4DFW2,physical,RBBP4,Q09028,BIOGRID
SORT1,Q99523,physical,ASS1,P00966,BIOGRID
CUL3,A0A024R475,physical,SKP1,P63208,BIOGRID
SASS6,B4DYM7,physical,SQSTM1,Q13501,BIOGRID
NTM,B7Z1I4,physical,CALR,P27797,BIOGRID
SQSTM1,Q13501,physical,Ubc,P0CG50,BIOGRID
EIF2AK2,P19525,physical,MOV10,Q5JR04,BIOGRID
SQSTM1,Q13501,physical,C10orf2,E5KSY5,BIOGRID
BCCIP,Q9P287,physical,SMS,P52788,BIOGRID
STAT1,P42224,physical,IGBP1,P78318,BIOGRID
CLN5,A0A024R644,physical,CALR,P27797,BIOGRID
BARD1,A0A087WZ19,physical,BRCA2,P51587,BIOGRID
FN1,B7ZLE5,physical,ITGAV,P06756,BIOGRID
LMNA,P02545,physical,THRAP3,Q9Y2W1,BIOGRID
PIFO,Q8TCI5,physical,RAP2A,P10114,BIOGRID
