SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
CDK1,P06493,,SPC25,Q9HBM1,STRING
CDK1,P06493,,CENPH,Q9H3R5,STRING
CDK1,P06493,,RANBP2,P49792,STRING
CDK1,P06493,,SKA1,Q96BD8,STRING
CDK1,P06493,,PIK3CB,P42338,STRING
CDK1,P06493,,ACTR1B,P42025,STRING
CDK1,P06493,,RAP1GAP,P47736,STRING
CDK1,P06493,,ACTC1,P68032,STRING
CDK1,P06493,,CALM3,P0DP25,STRING
CDK1,P06493,,ACTG2,P63267,STRING
CDK1,P06493,,MAP2K1,Q02750,STRING
CDK1,P06493,,CLIP1,P30622,STRING
CDK1,P06493,,RAC3,P60763,STRING
CDK1,P06493,,PRKCB,P05771,STRING
CDK1,P06493,,PRKCE,Q02156,STRING
CDK1,P06493,,FOS,P01100,STRING
CDK1,P06493,,ITPR1,Q14643,STRING
CDK1,P06493,,RAB1B,Q9H0U4,STRING
CDK1,P06493,,MAPK7,Q13164,STRING
CDK1,P06493,,CASP3,P42574,STRING
CDK1,P06493,,PPP2R1B,P30154,STRING
CDK1,P06493,,ZWILCH,Q9H900,STRING
CDK1,P06493,,PTPN2,P17706,STRING
CDK1,P06493,,SEC13,P55735,STRING
CDK1,P06493,,CDC42,P60953,STRING
CDK1,P06493,,ACTL9,Q8TC94,STRING
CDK1,P06493,,NUDC,Q9Y266,STRING
CDK1,P06493,,SEPT4,O43236,STRING
CDK1,P06493,,PPP2R1A,P30153,STRING
CDK1,P06493,,KNTC1,P50748,STRING
CDK1,P06493,,ACTL10,Q5JWF8,STRING
CDK1,P06493,,ACTG1,P63261,STRING
CDK1,P06493,,RIPK4,P57078,STRING
CDK1,P06493,,ACTRT3,Q9BYD9,STRING
CDK1,P06493,,DNAH8,Q96JB1,STRING
CDK1,P06493,,SKA2,Q8WVK7,STRING
CDK1,P06493,,MAPK11,Q15759,STRING
CDK1,P06493,,NDEL1,Q9GZM8,STRING
CDK1,P06493,,ACTL7A,Q9Y615,STRING
CDK1,P06493,,ERCC6L,Q2NKX8,STRING
CDK1,P06493,,PPP1CC,P36873,STRING
CDK1,P06493,,CENPQ,Q7L2Z9,STRING
CDK1,P06493,,PPP2R5E,Q16537,STRING
CDK1,P06493,,STARD13,Q9Y3M8,STRING
CDK1,P06493,,MEF2C,Q06413,STRING
CDK1,P06493,,SEPT6,Q14141,STRING
CDK1,P06493,,NUP43,Q8NFH3,STRING
CDK1,P06493,,PKN1,Q16512,STRING
CDK1,P06493,,NDE1,Q9NXR1,STRING
CDK1,P06493,,FYN,P06241,STRING
CDK1,P06493,,DNM2,P50570,STRING
CDK1,P06493,,RAC1,P63000,STRING
CDK1,P06493,,CENPL,Q8N0S6,STRING
CDK1,P06493,,RANGAP1,P46060,STRING
CDK1,P06493,,PHLPP2,Q6ZVD8,STRING
CDK1,P06493,,CALM1,P0DP23,STRING
CDK1,P06493,,ACTB,P60709,STRING
CDK1,P06493,,POTEF,A5A3E0,STRING
CDK1,P06493,,SRC,P12931,STRING
CDK1,P06493,,PAK4,O96013,STRING
CDK1,P06493,,PRDM10,Q9NQV6,STRING
CDK1,P06493,,PIK3CG,P48736,STRING
CDK1,P06493,,SEPT2,Q15019,STRING
CDK1,P06493,,EXOC8,Q8IYI6,STRING
CDK1,P06493,,MTOR,P42345,STRING
CDK1,P06493,,CALD1,Q05682,STRING
CDK1,P06493,,ARHGAP11A,Q6P4F7,STRING
CDK1,P06493,,AHCTF1,Q8WYP5,STRING
CDK1,P06493,,ACTA1,P68133,STRING
CDK1,P06493,,CENPF,P49454,STRING
CDK1,P06493,,RPS27,P42677,STRING
CDK1,P06493,,ACTR1A,P61163,STRING
CDK1,P06493,,ITGB3BP,Q13352,STRING
CDK1,P06493,,ACTRT1,Q8TDG2,STRING
CDK1,P06493,,JUN,P05412,STRING
CDK1,P06493,,VEGFA,P15692,STRING
CDK1,P06493,,ABL1,P00519,STRING
CDK1,P06493,,CENPI,Q92674,STRING
CDK1,P06493,,ZWINT,O95229,STRING
CDK1,P06493,,ACTL7B,Q9Y614,STRING
CDK1,P06493,,ACTL8,Q9H568,STRING
CDK1,P06493,,RCC2,Q9P258,STRING
CDK1,P06493,,EHMT2,Q96KQ7,STRING
CDK1,P06493,,CENPP,Q6IPU0,STRING
CDK1,P06493,,SYK,Q15046,STRING
CDK1,P06493,,PIK3CD,O00329,STRING
CDK1,P06493,,ACTRT2,Q8TDY3,STRING
CDK1,P06493,,NUP160,Q12769,STRING
CDK1,P06493,,SEPT8,Q92599,STRING
CDK1,P06493,,MIS12,Q9H081,STRING
CDK1,P06493,,RHOH,Q15669,STRING
CDK1,P06493,,MBP,P02686,STRING
CDK1,P06493,,CENPN,Q96H22,STRING
KTN1,Q86UP2,,CDC42,P60953,STRING
CXCL12,P48061,,STAT3,P40763,STRING
CXCL12,P48061,,CDC42,P60953,STRING
NFATC2,Q13469,,SRF,P11831,STRING
NFATC2,Q13469,,MEF2D,Q14814,STRING
NFATC2,Q13469,,CDC42,P60953,STRING
MYH11,P35749,,SRF,P11831,STRING
MYH11,P35749,,CDC42,P60953,STRING
ARHGAP21,Q5T5U3,,CDC42,P60953,STRING
NCF4,Q15080,,CDC42,P60953,STRING
PAFAH1B1,P43034,,TUBA4A,P68366,STRING
PAFAH1B1,P43034,,CDC42,P60953,STRING
PAFAH1B1,P43034,,CDK1,P06493,STRING
MYO9B,Q13459,,CDC42,P60953,STRING
SEPT10,Q9P0V9,,CDC42,P60953,STRING
SEPT10,Q9P0V9,,CDK1,P06493,STRING
SH3KBP1,Q96B97,,CDC42,P60953,STRING
ARHGEF12,Q9NZN5,,CDC42,P60953,STRING
ARHGEF12,Q9NZN5,,CDK1,P06493,STRING
MAP2K7,O14733,,MAP2K4,P45985,STRING
MAP2K7,O14733,,SRF,P11831,STRING
DIAPH1,O60610,,CDC42,P60953,STRING
DYRK1A,Q13627,,CDC42,P60953,STRING
SEPT7,Q16181,,CDC42,P60953,STRING
SEPT7,Q16181,,CDK1,P06493,STRING
CTNND1,O60716,,CDC42,P60953,STRING
CTNND1,O60716,,ENAH,Q8N8S7,STRING
MYO5A,Q9Y4I1,,TUBA4A,P68366,STRING
MYO5A,Q9Y4I1,,CDC42,P60953,STRING
MAP3K1,Q13233,,STAT3,P40763,STRING
MAP3K1,Q13233,,MEF2D,Q14814,STRING
MAP3K1,Q13233,,CDC42,P60953,STRING
ROCK1,Q13464,,MAP2K4,P45985,STRING
ROCK1,Q13464,,ENAH,Q8N8S7,STRING
DIAPH3,Q9NSV4,,CDC42,P60953,STRING
MAPK4,P31152,,CDC42,P60953,STRING
MYH8,P13535,,CDC42,P60953,STRING
XPO1,O14980,,CDC42,P60953,STRING
KIF2A,O00139,,CDC42,P60953,STRING
HIPK2,Q9H2X6,,CDC42,P60953,STRING
ARHGAP35,Q9NRY4,,CDC42,P60953,STRING
ARHGAP35,Q9NRY4,,CDK1,P06493,STRING
MARK2,Q7KZI7,,CDC42,P60953,STRING
PLEKHG2,Q9H7P9,,CDC42,P60953,STRING
CHN1,P15882,,CDC42,P60953,STRING
WIPF3,A6NGB9,,CDC42,P60953,STRING
ARHGAP25,P42331,,CDC42,P60953,STRING
POTEJ,P0CG39,,TUBA4A,P68366,STRING
POTEJ,P0CG39,,SRF,P11831,STRING
POTEJ,P0CG39,,MEF2D,Q14814,STRING
POTEJ,P0CG39,,CDC42,P60953,STRING
POTEJ,P0CG39,,CDK1,P06493,STRING
RAB1A,P62820,,CDC42,P60953,STRING
RAB1A,P62820,,CDK1,P06493,STRING
CREB1,P16220,,MAP2K4,P45985,STRING
CREB1,P16220,,SRF,P11831,STRING
UBA52,P62987,,TUBA4A,P68366,STRING
UBA52,P62987,,MAP2K4,P45985,STRING
UBA52,P62987,,CDC42,P60953,STRING
ARPC4,P59998,,CDC42,P60953,STRING
DCC,P43146,,CDC42,P60953,STRING
MAPK9,P45984,,MAP2K4,P45985,STRING
MAPK9,P45984,,STAT3,P40763,STRING
MAPK9,P45984,,SRF,P11831,STRING
MAPK9,P45984,,CDC42,P60953,STRING
EXOC5,O00471,,CDC42,P60953,STRING
SEPT5,Q99719,,CDC42,P60953,STRING
SEPT5,Q99719,,CDK1,P06493,STRING
BCAR1,P56945,,MAP2K4,P45985,STRING
POTEI,P0CG38,,TUBA4A,P68366,STRING
POTEI,P0CG38,,SRF,P11831,STRING
POTEI,P0CG38,,MEF2D,Q14814,STRING
POTEI,P0CG38,,CDC42,P60953,STRING
POTEI,P0CG38,,CDK1,P06493,STRING
ARHGAP11B,Q3KRB8,,CDC42,P60953,STRING
PIK3R5,Q8WYR1,,CDC42,P60953,STRING
ARHGAP23,Q9P227,,CDC42,P60953,STRING
GDI1,P31150,,CDC42,P60953,STRING
JMJD6,Q6NYC1,,CDC42,P60953,STRING
FGD4,Q96M96,,CDC42,P60953,STRING
CDKN2A,P42771,,CDC42,P60953,STRING
WASF2,Q9Y6W5,,CDC42,P60953,STRING
ACTL6A,O96019,,CDC42,P60953,STRING
ACTL6A,O96019,,CDK1,P06493,STRING
ITK,Q08881,,CDC42,P60953,STRING
CDK3,Q00526,,CDC42,P60953,STRING
ZDHHC13,Q8IUH4,,CDC42,P60953,STRING
RHOA,P61586,,TUBA4A,P68366,STRING
RHOA,P61586,,SRF,P11831,STRING
RHOA,P61586,,CDK1,P06493,STRING
LAMA2,P24043,,CDC42,P60953,STRING
GNA13,Q14344,,CDC42,P60953,STRING
PSMC6,P62333,,MAP2K4,P45985,STRING
PSMC6,P62333,,CDC42,P60953,STRING
PSMC6,P62333,,CDK1,P06493,STRING
ZDHHC17,Q8IUH5,,CDC42,P60953,STRING
SYNGAP1,Q96PV0,,CDC42,P60953,STRING
DOCK4,Q8N1I0,,CDC42,P60953,STRING
PGGT1B,P53609,,CDC42,P60953,STRING
RASGRF1,Q13972,,CDC42,P60953,STRING
RASGRF1,Q13972,,CDK1,P06493,STRING
DOCK8,Q8NF50,,CDC42,P60953,STRING
PRKCA,P17252,,CDC42,P60953,STRING
KIF5A,Q12840,,TUBA4A,P68366,STRING
KIF5A,Q12840,,CDC42,P60953,STRING
SYNJ1,O43426,,CDC42,P60953,STRING
STMN1,P16949,,TUBA4A,P68366,STRING
STMN1,P16949,,STAT3,P40763,STRING
STMN1,P16949,,CDC42,P60953,STRING
STMN1,P16949,,CDK1,P06493,STRING
ARHGEF28,Q8N1W1,,CDC42,P60953,STRING
PPP2R5C,Q13362,,CDC42,P60953,STRING
PPP2R5C,Q13362,,CDK1,P06493,STRING
FNBP1,Q96RU3,,CDC42,P60953,STRING
BDNF,P23560,,CDC42,P60953,STRING
TK2,O00142,,TUBA4A,P68366,STRING
TK2,O00142,,CDC42,P60953,STRING
TK2,O00142,,CDK1,P06493,STRING
KLC1,Q07866,,CDC42,P60953,STRING
ACTBL2,Q562R1,,TUBA4A,P68366,STRING
ACTBL2,Q562R1,,CDC42,P60953,STRING
ACTBL2,Q562R1,,CDK1,P06493,STRING
PPP2R5D,Q14738,,MAP2K4,P45985,STRING
PPP2R5D,Q14738,,CDC42,P60953,STRING
PPP2R5D,Q14738,,CDK1,P06493,STRING
EHMT1,Q9H9B1,,TUBA4A,P68366,STRING
EHMT1,Q9H9B1,,CDC42,P60953,STRING
CTNNA2,P26232,,MEF2D,Q14814,STRING
CTNNA2,P26232,,CDC42,P60953,STRING
PPP2CA,P67775,,CDK1,P06493,STRING
CDK5,Q00535,,STAT3,P40763,STRING
CDK5,Q00535,,MEF2D,Q14814,STRING
CDK5,Q00535,,CDC42,P60953,STRING
CLASP2,O75122,,TUBA4A,P68366,STRING
CLASP2,O75122,,CDC42,P60953,STRING
CLASP2,O75122,,CDK1,P06493,STRING
ROBO1,Q9Y6N7,,CDC42,P60953,STRING
ROBO1,Q9Y6N7,,ENAH,Q8N8S7,STRING
MYO10,Q9HD67,,CDC42,P60953,STRING
CSNK1A1,P48729,,CDC42,P60953,STRING
SLIT2,O94813,,CDC42,P60953,STRING
SLIT2,O94813,,ENAH,Q8N8S7,STRING
DDX41,Q9UJV9,,CDC42,P60953,STRING
RPS6KA2,Q15349,,SRF,P11831,STRING
RPS6KA2,Q15349,,CDC42,P60953,STRING
ABL2,P42684,,CDC42,P60953,STRING
ABL2,P42684,,ENAH,Q8N8S7,STRING
RHOBTB2,Q9BYZ6,,TUBA4A,P68366,STRING
RHOBTB2,Q9BYZ6,,CDC42,P60953,STRING
LYN,P07948,,SPI1,P17947,STRING
LYN,P07948,,STAT3,P40763,STRING
LYN,P07948,,CDC42,P60953,STRING
LYN,P07948,,CDK1,P06493,STRING
MCF2,P10911,,CDC42,P60953,STRING
SLIT3,O75094,,CDC42,P60953,STRING
LPXN,O60711,,CDC42,P60953,STRING
CD3G,P09693,,CDC42,P60953,STRING
BRK1,Q8WUW1,,CDC42,P60953,STRING
CKAP5,Q14008,,CDC42,P60953,STRING
LMO7,Q8WWI1,,CDC42,P60953,STRING
RPS6KA1,Q15418,,STAT3,P40763,STRING
RPS6KA1,Q15418,,SRF,P11831,STRING
RPS6KA1,Q15418,,CDC42,P60953,STRING
MYO1H,Q8N1T3,,CDC42,P60953,STRING
POTEE,Q6S8J3,,TUBA4A,P68366,STRING
POTEE,Q6S8J3,,SRF,P11831,STRING
POTEE,Q6S8J3,,MEF2D,Q14814,STRING
POTEE,Q6S8J3,,CDC42,P60953,STRING
POTEE,Q6S8J3,,CDK1,P06493,STRING
MCF2L,O15068,,CDC42,P60953,STRING
MYL6,P60660,,CDC42,P60953,STRING
AGAP2,Q99490,,CDC42,P60953,STRING
MAP3K9,P80192,,MAP2K4,P45985,STRING
MAP3K9,P80192,,CDC42,P60953,STRING
TUBB3,Q13509,,CDC42,P60953,STRING
OBSCN,Q5VST9,,CDC42,P60953,STRING
PMF1,Q6P1K2,,CDC42,P60953,STRING
PMF1,Q6P1K2,,CDK1,P06493,STRING
SEPT1,Q8WYJ6,,CDC42,P60953,STRING
SEPT1,Q8WYJ6,,CDK1,P06493,STRING
AURKB,Q96GD4,,CDC42,P60953,STRING
SPC24,Q8NBT2,,CDC42,P60953,STRING
SPC24,Q8NBT2,,CDK1,P06493,STRING
P85B,O00459,,CDC42,P60953,STRING
VAV1,,,SPI1,P17947,STRING
SKP1,P63208,,PSMC4,P43686,STRING
SKP1,P63208,,PPP2R5B,Q15173,STRING
SKP1,P63208,,ESR1,P03372,STRING
SKP1,P63208,,CDC6,Q99741,STRING
SKP1,P63208,,PSMD5,Q16401,STRING
SKP1,P63208,,PSMD8,P48556,STRING
SKP1,P63208,,CDC34,P49427,STRING
SKP1,P63208,,PSMA3,P25788,STRING
SKP1,P63208,,PSME2,Q9UL46,STRING
SKP1,P63208,,PSMD10,O75832,STRING
SKP1,P63208,,PSMD7,P51665,STRING
SKP1,P63208,,PPP2CB,P62714,STRING
SKP1,P63208,,PSMB3,P49720,STRING
SKP1,P63208,,NFKB1,P19838,STRING
SKP1,P63208,,GLI1,P08151,STRING
SKP1,P63208,,OAS3,Q9Y6K5,STRING
SKP1,P63208,,GAPDH,P04406,STRING
CCNI,Q14094,,SKP1,P63208,STRING
CDKN1A,P38936,,SKP1,P63208,STRING
TUBA4A,P68366,,PSMC4,P43686,STRING
TUBA4A,P68366,,ESR1,P03372,STRING
TUBA4A,P68366,,HAUS4,Q9H6D7,STRING
TUBA4A,P68366,,CEP41,Q9BYV8,STRING
TUBA4A,P68366,,OAS3,Q9Y6K5,STRING
TUBA4A,P68366,,CNTRL,Q7Z7A1,STRING
TUBA4A,P68366,,DYNLL1,P63167,STRING
TUBA4A,P68366,,HAUS3,Q68CZ6,STRING
TUBGCP6,Q96RT7,,TUBA4A,P68366,STRING
SIRT2,Q8IXJ6,,TUBA4A,P68366,STRING
TUBGCP2,Q9BSJ2,,TUBA4A,P68366,STRING
HAUS8,Q9BT25,,TUBA4A,P68366,STRING
CCNA1,P78396,,SKP1,P63208,STRING
CCNB1,P14635,,SKP1,P63208,STRING
CEP135,Q66GS9,,TUBA4A,P68366,STRING
OASL,Q15646,,SKP1,P63208,STRING
OASL,Q15646,,TUBA4A,P68366,STRING
CDK4,P11802,,SKP1,P63208,STRING
PSMB7,Q99436,,SKP1,P63208,STRING
DCTN3,O75935,,TUBA4A,P68366,STRING
HAUS2,Q9NVX0,,TUBA4A,P68366,STRING
CCND2,P30279,,SKP1,P63208,STRING
PSMC1,P62191,,SKP1,P63208,STRING
UBE2K,P61086,,SKP1,P63208,STRING
PPP2R5A,Q15172,,SKP1,P63208,STRING
PSMA6,P60900,,SKP1,P63208,STRING
B9D1,Q9UPM9,,TUBA4A,P68366,STRING
PSMD11,O00231,,SKP1,P63208,STRING
ANAPC5,Q9UJX4,,SKP1,P63208,STRING
RAB11A,P62491,,TUBA4A,P68366,STRING
TUBGCP3,Q96CW5,,TUBA4A,P68366,STRING
CEP76,Q8TAP6,,TUBA4A,P68366,STRING
PSMB1,P20618,,SKP1,P63208,STRING
PKMYT1,Q99640,,SKP1,P63208,STRING
CCNE1,P24864,,SKP1,P63208,STRING
MARK4,Q96L34,,TUBA4A,P68366,STRING
OPTN,Q96CV9,,TUBA4A,P68366,STRING
EP300,Q09472,,SKP1,P63208,STRING
YWHAE,P62258,,TUBA4A,P68366,STRING
ALMS1,Q8TCU4,,TUBA4A,P68366,STRING
UBE2S,Q16763,,SKP1,P63208,STRING
PSMD3,O43242,,SKP1,P63208,STRING
STAT3,P40763,,KITLG,P21583,STRING
STAT3,P40763,,HSPB1,P04792,STRING
STAT3,P40763,,CCNB1,P14635,STRING
STAT3,P40763,,CCND2,P30279,STRING
CEP72,Q9P209,,TUBA4A,P68366,STRING
ZAP70,P43403,,SKP1,P63208,STRING
CEP70,Q8NHQ1,,TUBA4A,P68366,STRING
SRF,P11831,,CSNK2A1,P68400,STRING
SRF,P11831,,MYOD1,P15172,STRING
SRF,P11831,,EP300,Q09472,STRING
AHI1,Q8N157,,TUBA4A,P68366,STRING
PRKAR2B,P31323,,TUBA4A,P68366,STRING
CDK6,Q00534,,SKP1,P63208,STRING
TCTN3,Q6NUS6,,TUBA4A,P68366,STRING
CDK2,P24941,,SKP1,P63208,STRING
RB1,P06400,,STAT3,P40763,STRING
TTBK2,Q6IQ55,,TUBA4A,P68366,STRING
PML,P29590,,SRF,P11831,STRING
TP53,P04637,,SKP1,P63208,STRING
IFNAR1,P17181,,SKP1,P63208,STRING
SAE1,Q9UBE0,,SKP1,P63208,STRING
PSMB6,P28072,,SKP1,P63208,STRING
PSMA5,P28066,,SKP1,P63208,STRING
RPS27A,P62979,,SKP1,P63208,STRING
SKP2,Q13309,,SKP1,P63208,STRING
CCNB3,Q8WWL7,,SKP1,P63208,STRING
NOTCH1,P46531,,SKP1,P63208,STRING
NINL,Q9Y2I6,,TUBA4A,P68366,STRING
CEP164,Q9UPV0,,TUBA4A,P68366,STRING
SCLT1,Q96NL6,,TUBA4A,P68366,STRING
FBXW7,Q969H0,,SKP1,P63208,STRING
GJA1,P17302,,TUBA4A,P68366,STRING
CCNO,P22674,,SKP1,P63208,STRING
TUBGCP5,Q96RT8,,TUBA4A,P68366,STRING
CCNB2,O95067,,SKP1,P63208,STRING
PSMB4,P28070,,SKP1,P63208,STRING
PSMC2,P35998,,SKP1,P63208,STRING
PSME3,P61289,,SKP1,P63208,STRING
PSMD6,Q15008,,SKP1,P63208,STRING
WDFY2,Q96P53,,STAT3,P40763,STRING
LRR1,Q96L50,,SKP1,P63208,STRING
PSMC3,P17980,,SKP1,P63208,STRING
PLK1,P53350,,SKP1,P63208,STRING
RAB8A,P61006,,TUBA4A,P68366,STRING
CDT1,Q9H211,,SKP1,P63208,STRING
PRDX2,P32119,,STAT3,P40763,STRING
CDC25A,P30304,,SKP1,P63208,STRING
UBE2E1,P51965,,SKP1,P63208,STRING
UBB,P0CG47,,SKP1,P63208,STRING
TCTN2,Q96GX1,,TUBA4A,P68366,STRING
CEP89,Q96ST8,,TUBA4A,P68366,STRING
YWHAG,P61981,,TUBA4A,P68366,STRING
CYCS,P99999,,SKP1,P63208,STRING
CDC20,Q12834,,SKP1,P63208,STRING
CCNE2,O96020,,SKP1,P63208,STRING
PSMD1,Q99460,,SKP1,P63208,STRING
PRKACA,P17612,,TUBA4A,P68366,STRING
ANAPC10,Q9UM13,,SKP1,P63208,STRING
PSMD2,Q13200,,SKP1,P63208,STRING
PSMC5,P62195,,SKP1,P63208,STRING
PSMA8,Q8TAA3,,SKP1,P63208,STRING
PPP2R1B,P30154,,SKP1,P63208,STRING
NPHP1,O15259,,TUBA4A,P68366,STRING
PRKDC,P78527,,SRF,P11831,STRING
SSNA1,O43805,,TUBA4A,P68366,STRING
ANAPC2,Q9UJX6,,SKP1,P63208,STRING
CCNG2,Q16589,,SKP1,P63208,STRING
ANAPC4,Q9UJX5,,SKP1,P63208,STRING
TRAF7,Q6Q0C0,,SKP1,P63208,STRING
EZH2,Q15910,,STAT3,P40763,STRING
C2CD3,Q4AC94,,TUBA4A,P68366,STRING
FBF1,Q8TES7,,TUBA4A,P68366,STRING
CSNK1D,P48730,,TUBA4A,P68366,STRING
PPP2R1A,P30153,,SKP1,P63208,STRING
UBE2I,P63279,,SKP1,P63208,STRING
UBE2I,P63279,,SRF,P11831,STRING
PPP2R2A,P63151,,SKP1,P63208,STRING
HSP90AB1,P08238,,SKP1,P63208,STRING
PPP1CA,P62136,,STAT3,P40763,STRING
CUL1,Q13616,,SKP1,P63208,STRING
PCM1,Q15154,,TUBA4A,P68366,STRING
PSMF1,Q92530,,SKP1,P63208,STRING
FOXK1,P85037,,SRF,P11831,STRING
SP1,P08047,,SRF,P11831,STRING
CASP9,P55211,,SRF,P11831,STRING
UBL4B,Q8N7F7,,SKP1,P63208,STRING
PPP2R2C,Q9Y2T4,,SKP1,P63208,STRING
HSP90AA1,P07900,,SKP1,P63208,STRING
HSP90AA1,P07900,,TUBA4A,P68366,STRING
CDKN3,Q16667,,SKP1,P63208,STRING
FOXK2,Q01167,,SRF,P11831,STRING
CEP63,Q96MT8,,TUBA4A,P68366,STRING
PPP2R2B,Q00005,,SKP1,P63208,STRING
PPP2R5E,Q16537,,SKP1,P63208,STRING
ZBTB16,Q05516,,SKP1,P63208,STRING
UBA1,P22314,,SKP1,P63208,STRING
ANAPC1,Q9H1A4,,SKP1,P63208,STRING
ZFAND4,Q86XD8,,SKP1,P63208,STRING
ZFAND4,Q86XD8,,TUBA4A,P68366,STRING
KAT5,Q92993,,STAT3,P40763,STRING
KAT5,Q92993,,SRF,P11831,STRING
MAPT,P10636,,TUBA4A,P68366,STRING
OAS2,P29728,,SKP1,P63208,STRING
OAS2,P29728,,TUBA4A,P68366,STRING
CEP97,Q8IW35,,TUBA4A,P68366,STRING
KPNA1,P52294,,STAT3,P40763,STRING
CDK5RAP2,Q96SN8,,TUBA4A,P68366,STRING
OFD1,O75665,,TUBA4A,P68366,STRING
PTMA,P06454,,STAT3,P40763,STRING
CCNG1,P51959,,SKP1,P63208,STRING
GATA2,P23769,,STAT3,P40763,STRING
PSMD12,O00232,,SKP1,P63208,STRING
CDC16,Q13042,,SKP1,P63208,STRING
AKAP9,Q99996,,TUBA4A,P68366,STRING
UBE2C,O00762,,SKP1,P63208,STRING
DYNC1H1,Q14204,,TUBA4A,P68366,STRING
ANAPC11,Q9NYG5,,SKP1,P63208,STRING
ACTB,P60709,,SKP1,P63208,STRING
SMARCA4,P51532,,STAT3,P40763,STRING
SMARCA4,P51532,,SRF,P11831,STRING
PSMB10,P40306,,SKP1,P63208,STRING
PRDM10,Q9NQV6,,SKP1,P63208,STRING
PCNT,O95613,,TUBA4A,P68366,STRING
CSNK1E,P49674,,TUBA4A,P68366,STRING
MAP2,P50579,,TUBA4A,P68366,STRING
PSMB5,P28074,,SKP1,P63208,STRING
SDCCAG8,Q86SQ7,,TUBA4A,P68366,STRING
FGFR1OP,O95684,,TUBA4A,P68366,STRING
FGFR1OP,O95684,,STAT3,P40763,STRING
NEK2,P51955,,TUBA4A,P68366,STRING
UBE2T,Q9NPD8,,SKP1,P63208,STRING
LMNA,P02545,,NUP155,O75694,STRING
LMNA,P02545,,RPA1,O95602,STRING
LMNA,P02545,,LMNB1,P20700,STRING
LMNA,P02545,,MAPK3,Q16644,STRING
LMNA,P02545,,TMPO,P42166,STRING
LMNA,P02545,,RB1,P06400,STRING
LMNA,P02545,,FOS,P01100,STRING
LMNA,P02545,,HIST2H3D,Q71DI3,STRING
LMNA,P02545,,NUP50,Q9UKX7,STRING
LMNA,P02545,,ACTB,P60709,STRING
LMNA,P02545,,PRDM10,Q9NQV6,STRING
PSMD4,P55036,,SKP1,P63208,STRING
CACUL1,Q86Y37,,SKP1,P63208,STRING
UBL4A,P11441,,SKP1,P63208,STRING
UBL4A,P11441,,TUBA4A,P68366,STRING
BTRC,Q9Y297,,SKP1,P63208,STRING
HAUS7,Q99871,,TUBA4A,P68366,STRING
CETN2,P41208,,TUBA4A,P68366,STRING
PSMA7,O14818,,SKP1,P63208,STRING
GADD45A,P24522,,STAT3,P40763,STRING
JUN,P05412,,SKP1,P63208,STRING
RUNX2,Q13950,,STAT3,P40763,STRING
UBE2A,P49459,,SKP1,P63208,STRING
PTPN1,P18031,,MAPK13,O15264,STRING
PTPN1,P18031,,MAPK12,P53778,STRING
PTPN1,P18031,,CSNK2A1,P68400,STRING
PTPN1,P18031,,KITLG,P21583,STRING
PTPN1,P18031,,MAPK14,Q16539,STRING
PTPN1,P18031,,DUSP1,P28562,STRING
PTPN1,P18031,,CDC25B,P30305,STRING
PTPN1,P18031,,MAPK6,Q16659,STRING
PTPN1,P18031,,PHLPP1,O60346,STRING
PTPN1,P18031,,IFNAR1,P17181,STRING
PTPN1,P18031,,PPM1B,O75688,STRING
PTPN1,P18031,,PLK1,P53350,STRING
PTPN1,P18031,,MAP2K1,Q02750,STRING
PTPN1,P18031,,CDC25A,P30304,STRING
PTPN1,P18031,,FOS,P01100,STRING
PTPN1,P18031,,MAPK7,Q13164,STRING
PTPN1,P18031,,CDC25C,P30307,STRING
PTPN1,P18031,,RIPK4,P57078,STRING
PTPN1,P18031,,MAPK11,Q15759,STRING
PTPN1,P18031,,PHLPP2,Q6ZVD8,STRING
PLK3,Q9H4B4,,SKP1,P63208,STRING
ODF2,Q5BJF6,,TUBA4A,P68366,STRING
CCND3,P30281,,SKP1,P63208,STRING
PSMB2,P49721,,SKP1,P63208,STRING
RBBP4,Q09028,,PSMC4,P43686,STRING
RBBP4,Q09028,,ESR1,P03372,STRING
RBBP4,Q09028,,CDC6,Q99741,STRING
RBBP4,Q09028,,SIRT1,Q96EB6,STRING
RBBP4,Q09028,,CENPM,Q9NSP4,STRING
RBBP4,Q09028,,MCM5,P33992,STRING
RBBP4,Q09028,,CENPT,Q96BT3,STRING
RBBP4,Q09028,,OIP5,O43482,STRING
RBBP4,Q09028,,GLI1,P08151,STRING
RBBP4,Q09028,,MCM3,P25205,STRING
RBBP4,Q09028,,MSH2,P43246,STRING
RBBP4,Q09028,,ORC2,Q13416,STRING
RBBP4,Q09028,,NFYB,P25208,STRING
RBBP4,Q09028,,CENPK,Q9BS16,STRING
RBBP4,Q09028,,HIST1H4G,Q99525,STRING
RBBP4,Q09028,,SIRT2,Q8IXJ6,STRING
RBBP4,Q09028,,RPA1,O95602,STRING
RBBP4,Q09028,,H3F3B,P84243,STRING
RBBP4,Q09028,,CCNB1,P14635,STRING
RBBP4,Q09028,,ORC3,Q9UBD5,STRING
RBBP4,Q09028,,CDK4,P11802,STRING
RBBP4,Q09028,,CENPO,Q9BU64,STRING
RBBP4,Q09028,,MCM4,P33991,STRING
RBBP4,Q09028,,AJUBA,Q96IF1,STRING
